"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.282090538E0,-3.322079778E-3,2.727564424E-2,1.862907410E-2,3.319697855E-2
1.286862205E0,-5.670182407E-3,3.415642306E-2,-2.894401550E-3,3.474463650E-2
1.291633038E0,6.274625659E-3,3.623156622E-2,-1.948928833E-2,4.161645921E-2
1.296403091E0,1.094053686E-2,4.306617752E-2,-1.695156097E-2,4.755782178E-2
1.301173976E0,6.070822477E-3,4.506728798E-2,-1.443672180E-2,4.771094495E-2
1.305945591E0,8.364275098E-3,2.805832401E-2,-1.194286346E-2,3.162060455E-2
1.310716424E0,2.491210401E-2,2.306165174E-2,2.401351929E-3,3.403261962E-2
1.315486528E0,3.422819823E-2,3.709959239E-2,-4.740715027E-3,5.069934604E-2
1.320257361E0,2.444501221E-2,4.155241325E-2,-7.075309753E-3,4.872598565E-2
1.325028976E0,1.708903909E-2,4.362246022E-2,2.479553223E-3,4.691590856E-2
1.329799861E0,9.794212878E-3,5.039528757E-2,-4.663467407E-3,5.154958335E-2
1.334569913E0,1.683368534E-2,3.577259183E-2,2.386569977E-2,4.618033038E-2
1.339340747E0,1.909465343E-2,2.124329284E-2,4.503345490E-2,5.332818523E-2
1.344112413E0,1.421450824E-2,2.102281526E-2,2.329158783E-2,3.444574095E-2
1.348883247E0,1.646884531E-2,1.605609059E-2,1.122665405E-2,2.559411401E-2
1.353653299E0,2.107853442E-2,6.439391524E-3,2.062892914E-2,3.018812836E-2
1.358424184E0,2.327567339E-2,-5.471315235E-3,1.096057892E-2,2.630259592E-2
1.363195799E0,1.833204925E-2,-1.253446564E-2,-8.123397827E-3,2.364670063E-2
1.367966632E0,8.681192994E-3,-1.001348719E-2,-9.336471558E-4,1.328550844E-2
1.372736736E0,6.204880774E-3,-4.197545350E-4,-1.042175293E-2,1.213629570E-2
1.377507570E0,1.559147984E-2,-3.740936518E-4,-1.983261108E-2,2.523027253E-2
1.382279184E0,1.546019316E-2,-1.689090207E-2,-3.048896790E-3,2.310012807E-2
1.387050070E0,5.862012506E-3,-2.620478719E-2,-5.396842957E-3,2.738941358E-2
1.391820122E0,5.783341825E-3,-9.325228631E-3,-2.197074890E-2,2.455851663E-2
1.396590955E0,-1.388654113E-3,-4.457067698E-3,-2.653598785E-2,2.694350504E-2
1.401362570E0,-1.087518409E-2,-4.349078983E-3,-2.868843079E-2,3.098725832E-2
1.406133455E0,-1.075745001E-2,-6.616357714E-3,-3.082370758E-2,3.331065699E-2
1.410903507E0,-1.298653707E-2,-1.366976276E-2,-2.581977844E-2,3.197144848E-2
1.415674393E0,-1.762797683E-2,-8.765392005E-3,-1.848220825E-2,2.700314215E-2
1.420446007E0,-2.463334799E-2,-1.574415714E-2,-2.070236206E-2,3.582273178E-2
1.425216841E0,-2.914925665E-2,-1.794494875E-2,-1.815605164E-2,3.874716196E-2
1.429986945E0,-1.941111684E-2,-1.063081250E-2,-2.512741089E-2,3.348421134E-2
1.434757778E0,-9.754132479E-3,-1.530528441E-2,-1.779556274E-2,2.541804250E-2
1.439529393E0,-1.917093992E-2,-1.041554660E-2,6.093978882E-3,2.265270684E-2
1.444300278E0,-2.613499016E-2,-1.031505689E-2,3.669738770E-3,2.833557996E-2
1.449070330E0,-1.882456988E-2,-1.968353987E-2,-5.856513977E-3,2.785865985E-2
1.453841163E0,2.669952810E-3,-2.188017219E-2,-1.530361176E-2,2.683414087E-2
1.458612830E0,9.740181267E-3,-2.643223107E-2,-2.467441559E-2,3.744810750E-2
1.463383663E0,1.440580934E-2,-3.097481653E-2,-1.972007751E-2,3.944423987E-2
1.468153716E0,2.615499496E-2,-2.598295733E-2,1.811981201E-3,3.691180176E-2
1.472924601E0,2.830968797E-2,-2.103269473E-2,8.919715881E-3,3.637820793E-2
1.477696216E0,2.807227522E-2,-2.324613184E-2,4.096031189E-3,3.667714211E-2
1.482467049E0,2.546268702E-2,-1.829021797E-2,-6.866455078E-4,3.135844361E-2
1.487237153E0,1.334980875E-2,-1.094454899E-2,6.441116333E-3,1.842521441E-2
1.492007986E0,3.711998463E-3,5.808055401E-3,6.387710571E-3,9.397621320E-3
1.496779601E0,1.555044949E-2,2.004669979E-2,6.334304810E-3,2.614976232E-2
1.501550486E0,2.019624412E-2,1.995025575E-2,1.815223694E-2,3.369576660E-2
1.506320538E0,1.765242219E-2,1.745200157E-2,1.800060272E-2,3.066271460E-2
1.511091372E0,1.741857082E-2,1.969440281E-2,1.072883606E-2,2.839690185E-2
