"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.199368310E-1,9.097574651E-2,1.173108369E-1,9.861292839E0,9.862410196E0
3.223334450E-1,9.097574651E-2,1.125226393E-1,9.854109764E0,9.855172103E0
3.247301640E-1,9.336984903E-2,1.244931296E-1,9.856505394E0,9.857733768E0
3.271267790E-1,9.336984903E-2,1.244931296E-1,9.875657082E0,9.876883074E0
3.295239660E-1,9.576395154E-2,1.220990419E-1,9.863686562E0,9.864907070E0
3.319209450E-1,9.097574651E-2,1.268872321E-1,9.868474960E0,9.869709975E0
3.343174560E-1,8.379345387E-2,1.244931296E-1,9.880446434E0,9.881585987E0
3.367143310E-1,8.858165890E-2,1.197049394E-1,9.880446434E0,9.881568586E0
3.391108930E-1,7.661115378E-2,1.220990419E-1,9.882840157E0,9.883891289E0
3.415072470E-1,6.942886859E-2,1.268872321E-1,9.870868683E0,9.871928347E0
3.439039660E-1,9.097574651E-2,1.292813420E-1,9.861292839E0,9.862559846E0
3.463009450E-1,9.576395154E-2,1.292813420E-1,9.863686562E0,9.864998580E0
3.486985490E-1,8.379345387E-2,1.173108369E-1,9.873263359E0,9.874315801E0
3.510956850E-1,8.379345387E-2,1.125226393E-1,9.875657082E0,9.876653557E0
3.534922990E-1,8.379345387E-2,1.197049394E-1,9.882840157E0,9.883920284E0
3.558896950E-1,8.858165890E-2,1.149167418E-1,9.880446434E0,9.881511742E0
3.582868310E-1,8.139935881E-2,1.220990419E-1,9.870868683E0,9.871959410E0
3.606837060E-1,8.139935881E-2,1.220990419E-1,9.882840157E0,9.883929562E0
3.630807890E-1,8.858165890E-2,1.220990419E-1,9.875657082E0,9.876809084E0
3.654776640E-1,8.379345387E-2,1.316754371E-1,9.868474960E0,9.869709104E0
3.678751120E-1,6.942886859E-2,1.268872321E-1,9.866081238E0,9.867141416E0
3.702722990E-1,7.661115378E-2,1.220990419E-1,9.866081238E0,9.867134155E0
3.726690700E-1,8.379345387E-2,1.292813420E-1,9.868474960E0,9.869677454E0
3.750666740E-1,8.379345387E-2,1.197049394E-1,9.866081238E0,9.867163200E0
3.774638620E-1,8.618755639E-2,1.173108369E-1,9.856505394E0,9.857580266E0
3.798606330E-1,8.858165890E-2,1.316754371E-1,9.849322319E0,9.850600757E0
3.822577680E-1,9.336984903E-2,1.292813420E-1,9.875657082E0,9.876944588E0
3.846550600E-1,8.139935881E-2,1.340695322E-1,9.890022278E0,9.891265902E0
3.870527680E-1,8.139935881E-2,1.316754371E-1,9.875657082E0,9.876870307E0
