"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.173528320E-1,-8.731484413E-4,6.003528833E-3,-1.544952393E-3,6.260321441E-3
9.221245510E-1,-3.241244704E-3,-5.931973457E-3,-8.654594421E-3,1.098162014E-2
9.268955400E-1,-1.268361136E-2,-3.551572561E-3,9.145736694E-4,1.320318560E-2
9.316656970E-1,-7.831282914E-3,-5.910694599E-3,9.069442749E-4,9.853316733E-3
9.364366860E-1,-6.452463567E-4,-3.444984555E-3,-3.849983215E-3,5.206403001E-3
9.412084050E-1,-7.735088468E-3,3.691405058E-3,9.307861328E-4,8.621161623E-3
9.459793950E-1,-5.240824074E-3,1.300185919E-3,-3.826141357E-3,6.617860536E-3
9.507495510E-1,-2.795789391E-3,1.303046942E-3,-1.419067383E-3,3.395308806E-3
9.555205400E-1,-5.147866905E-3,1.277461648E-3,-1.407623291E-3,5.487608337E-3
9.602922590E-1,-5.077309906E-3,-1.122236252E-3,-1.326751709E-2,1.425010526E-2
9.650631970E-1,-2.633634955E-3,-1.127615571E-3,-1.315689087E-2,1.346518946E-2
9.698334050E-1,2.164259553E-3,-5.881384015E-3,-1.175880432E-3,6.376314934E-3
9.746043420E-1,-7.380034775E-3,-8.249714971E-3,-1.165390015E-3,1.113017719E-2
9.793761130E-1,-9.694352746E-3,-1.073122025E-3,-1.065349579E-2,1.444399663E-2
9.841470510E-1,-2.492345870E-3,3.697827458E-3,-1.531219482E-2,1.594832362E-2
9.889172590E-1,4.649642855E-3,-5.787432194E-3,-1.043796539E-2,1.280877323E-2
9.936881970E-1,4.580788314E-3,-1.047363877E-2,-1.035118103E-2,1.542166267E-2
9.984599670E-1,-2.073496580E-4,-3.278493881E-3,-5.515098572E-3,6.419332385E-3
1.003230905E0,4.541013390E-3,6.230831146E-3,1.652717590E-3,7.885146467E-3
1.008001061E0,6.904523820E-3,3.790035844E-3,-3.109931946E-3,8.468087008E-3
1.012772051E0,-2.766847610E-4,-3.378719091E-3,-5.457878113E-3,6.425008222E-3
1.017543770E0,-2.650626004E-3,-3.393411636E-3,-1.016044617E-2,1.103520399E-2
1.022314759E0,-2.271831036E-4,6.088271737E-3,-7.699012756E-3,9.818017230E-3
1.027084915E0,2.147633582E-3,6.051227450E-3,-2.887725830E-3,7.040500276E-3
1.031855905E0,-2.172030509E-4,3.611922264E-3,-5.237579346E-3,6.365956095E-3
1.036627624E0,-1.886188984E-4,5.969822407E-3,-9.943008423E-3,1.159904191E-2
1.041398561E0,-2.590857446E-3,5.905345082E-3,-7.484436035E-3,9.879393990E-3
1.046168770E0,-2.243444324E-4,1.064509153E-3,-5.047798157E-3,5.163697938E-3
1.050939707E0,-2.597846091E-3,5.817636847E-3,-1.212882996E-2,1.370044594E-2
1.055711478E0,-7.297277451E-3,8.128568530E-3,-9.654045105E-3,1.457821908E-2
1.060482415E0,-2.460960299E-3,1.282283664E-2,-7.534027100E-5,1.305707246E-2
1.065252624E0,-3.866106272E-5,7.981210947E-3,7.046699524E-3,1.064693369E-2
1.070023561E0,-2.413708717E-3,8.059442043E-4,-7.255554199E-3,7.688862241E-3
1.074795332E0,2.353917807E-3,3.186926246E-3,-1.669311523E-2,1.715685065E-2
1.079566270E0,9.427085519E-3,-3.976792097E-3,-1.892757416E-2,2.151599127E-2
1.084336478E0,2.224411815E-3,7.900446653E-4,-1.164722443E-2,1.188402353E-2
1.089107415E0,-1.406222582E-4,-1.605585217E-3,-6.800651550E-3,6.989029977E-3
1.093879134E0,-2.514820546E-3,-1.550063491E-3,-9.120941162E-3,9.587418155E-3
1.098650124E0,-4.869237542E-3,5.598992109E-3,-9.044647217E-3,1.169888158E-2
1.103420280E0,-4.858758301E-3,1.031449437E-2,-1.846313477E-3,1.155011687E-2
1.108191270E0,2.359822392E-3,7.456392050E-4,5.290031433E-3,5.840305823E-3
1.112962988E0,-2.409804612E-3,-8.714839816E-3,-6.625175476E-3,1.120930602E-2
1.117733926E0,-1.188710332E-2,-8.600249887E-3,-1.369380951E-2,2.006957753E-2
1.122504134E0,-4.694819450E-3,-6.140887737E-3,-1.832866669E-2,1.989200479E-2
1.127275124E0,4.839669913E-3,-3.701865673E-3,-1.342773438E-2,1.474551677E-2
1.132046842E0,9.517975152E-3,-3.657311201E-3,-1.331615448E-2,1.677163517E-2
1.136817780E0,9.465865791E-3,-3.641560674E-3,-8.457183838E-3,1.320558737E-2
1.141587988E0,2.320170403E-3,-3.597512841E-3,-6.011962891E-3,7.380310775E-3
1.146358926E0,-9.599130601E-3,-1.208305359E-3,-8.337974548E-3,1.277204485E-2
1.151130697E0,-1.189406961E-2,1.189440489E-3,-5.892753601E-3,1.332697286E-2
1.155901634E0,-2.270713449E-3,1.193061471E-3,-1.095771790E-3,2.789310139E-3
1.160671842E0,2.523709089E-3,-3.579884768E-3,1.288414001E-3,4.565598882E-3
1.165442780E0,7.220868021E-3,-3.564625978E-3,-1.096725464E-3,8.127133572E-3
1.170214499E0,4.756446928E-3,1.198783517E-3,1.287460327E-3,5.071333492E-3
1.174985488E0,2.369429916E-3,8.296668530E-3,-3.471374512E-3,9.300502557E-3
1.179755645E0,-2.399839461E-3,1.090347767E-3,-5.816459656E-3,6.385866474E-3
1.184526634E0,-1.190609485E-2,-1.080419123E-2,-3.394126892E-3,1.643185139E-2
1.189298353E0,2.436783165E-3,-5.980581045E-3,-1.048946381E-2,1.231804014E-2
1.194069342E0,7.163543254E-3,3.551095724E-3,-1.515007019E-2,1.713041913E-2
1.198839499E0,-4.768114537E-3,-5.989804864E-3,-7.901191711E-3,1.100188661E-2
1.203610488E0,-4.758480936E-3,-3.551885486E-3,-7.835388184E-3,9.831192161E-3
