"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.981703210E-1,3.014802933E-4,-2.182231843E-2,-2.190780640E-2,3.092339654E-2
8.029404780E-1,2.871274948E-3,-1.447539032E-2,2.101421356E-2,2.567836280E-2
8.077114150E-1,-6.451040506E-3,-1.188099384E-2,6.357669830E-2,6.499823463E-2
8.124830820E-1,9.234249592E-4,-1.645912230E-2,7.017517090E-2,7.208543564E-2
8.172540190E-1,8.207887411E-3,-2.809305117E-2,3.635597229E-2,4.667275073E-2
8.220241760E-1,3.504112363E-3,-3.490953147E-2,-1.931190491E-3,3.513806608E-2
8.267950610E-1,3.644868731E-3,-3.689239547E-2,-3.040027618E-2,4.794278573E-2
8.315667800E-1,8.532553911E-3,-2.936284989E-2,-4.201507568E-2,5.196391069E-2
8.363377170E-1,1.106233895E-2,-1.717627794E-2,-3.216457367E-2,3.810458852E-2
8.411078210E-1,4.074379802E-3,-7.436931133E-3,1.559162140E-2,1.774844143E-2
8.458787590E-1,1.892998815E-3,-2.584032714E-3,5.345439911E-2,5.355028902E-2
8.506504780E-1,4.478111863E-3,-1.441910118E-2,5.064105988E-2,5.284392974E-2
8.554213630E-1,1.176147163E-2,-2.135023475E-2,2.648258209E-2,3.599294227E-2
8.601915190E-1,1.661020517E-2,-2.107195556E-2,-1.884365082E-2,3.278733602E-2
8.649624570E-1,9.604603052E-3,-8.954480290E-3,-6.616401672E-2,6.745449004E-2
8.697341760E-1,5.060270429E-3,3.062769771E-3,-6.560611725E-2,6.587222112E-2
8.745050610E-1,-1.849114895E-3,-1.639917493E-3,-1.519680023E-2,1.539647013E-2
8.792752170E-1,-1.578807831E-3,-1.527361572E-3,2.529621124E-2,2.539141136E-2
8.840461550E-1,-3.741860390E-3,5.706720054E-3,3.458595276E-2,3.525274885E-2
8.888178210E-1,1.235604286E-3,1.009799540E-3,1.530742645E-2,1.539037744E-2
8.935887590E-1,1.094838977E-2,-8.424803615E-3,-3.229808807E-2,3.512849339E-2
8.983589150E-1,6.335273385E-3,-5.853049457E-3,-7.475757599E-2,7.525349855E-2
9.031298530E-1,-2.930402756E-3,-3.330491483E-3,-1.026191711E-1,1.027150121E-1
9.079015190E-1,-2.195835114E-4,3.890849650E-3,-8.751106262E-2,8.759779112E-2
9.126724570E-1,3.716349602E-5,6.302952766E-3,-3.217124939E-2,3.278289008E-2
9.174426130E-1,3.201961517E-4,1.572512090E-3,1.321315765E-2,1.331025376E-2
9.222134980E-1,7.694855332E-3,4.003949463E-3,2.260589600E-2,2.421299122E-2
9.269852170E-1,1.500810683E-2,1.638330519E-3,-2.031040192E-2,2.530691256E-2
9.317561550E-1,1.751160622E-2,-7.831498981E-3,-8.423709869E-2,8.639373545E-2
9.365263110E-1,2.236883342E-2,-7.752843201E-3,-1.262636185E-1,1.284638962E-1
9.412971960E-1,2.249424160E-2,1.850247383E-3,-1.394481659E-1,1.412628942E-1
9.460689150E-1,1.787009835E-2,6.624266505E-3,-1.050395966E-1,1.067545698E-1
9.508398530E-1,1.563058794E-2,2.085657418E-2,-4.242992401E-2,4.979568673E-2
9.556099570E-1,6.258502603E-3,2.547293156E-2,-6.457328796E-3,2.701362975E-2
9.603808940E-1,6.404414773E-3,1.818083972E-2,-6.399154663E-3,2.031030876E-2
9.651526130E-1,8.894547820E-3,8.546128869E-3,-6.094646454E-2,6.218215853E-2
9.699234980E-1,1.867562532E-3,3.769233823E-3,-1.245374680E-1,1.246084902E-1
9.746936550E-1,4.423886538E-3,1.090212911E-2,-1.638545990E-1,1.642764645E-1
9.794645920E-1,7.015898824E-3,1.800406724E-2,-1.482391357E-1,1.494931792E-1
9.842363110E-1,9.558305144E-3,2.979658544E-2,-7.102584839E-2,7.761358670E-2
9.890071960E-1,1.802742481E-4,2.718898654E-2,3.169059753E-3,2.737364476E-2
9.937773530E-1,-1.627051830E-2,1.745222509E-2,2.926445007E-2,3.775868065E-2
9.985482900E-1,-1.605132222E-2,7.822826505E-3,-1.133823395E-2,2.115176372E-2
1.003319957E0,-8.682519197E-3,1.254853606E-2,-7.059574127E-2,7.222610735E-2
1.008090894E0,8.149906993E-3,2.195467800E-2,-1.293563843E-1,1.314591306E-1
1.012861051E0,5.934447050E-3,2.893749624E-2,-1.353950500E-1,1.385799983E-1
1.017631988E0,-5.816280842E-3,3.586138040E-2,-8.203220367E-2,8.971705616E-2
1.022403655E0,-1.515212655E-2,3.557591140E-2,-1.724433899E-2,4.233910295E-2
1.027174592E0,-2.686920762E-2,2.817186713E-2,3.038311005E-2,4.938361866E-2
1.031944748E0,-2.189829946E-2,2.082877606E-2,2.538204193E-2,3.946671362E-2
1.036715686E0,-1.934298873E-2,2.066931874E-2,-1.756477356E-2,3.331505996E-2
1.041487353E0,-1.675176620E-2,1.808086783E-2,-6.727313995E-2,7.164645708E-2
1.046258290E0,-4.629194736E-3,1.791510731E-2,-9.045124054E-2,9.232446820E-2
1.051028446E0,2.986490726E-4,2.252821624E-2,-6.832599640E-2,7.194478092E-2
1.055799332E0,5.185186863E-3,2.947629243E-2,-3.650665283E-3,3.015071036E-2
1.060571051E0,5.225777626E-3,2.924402803E-2,5.811023712E-2,6.526347819E-2
1.065341988E0,-4.259020090E-3,2.426540852E-2,8.611583710E-2,8.957056828E-2
1.070112144E0,-6.542325020E-3,9.831674397E-3,7.352828979E-2,7.447061997E-2
1.074883030E0,-8.834570646E-3,-6.854414940E-3,2.305889130E-2,2.562703866E-2
1.079654748E0,-3.985255957E-3,-9.156569839E-3,-2.461528778E-2,2.656383686E-2
1.084425686E0,5.628883839E-3,2.776883543E-3,-5.527114868E-2,5.562639025E-2
1.089195842E0,1.521953940E-2,2.767853439E-3,-3.581333160E-2,3.901141003E-2
1.093966728E0,1.283110678E-2,5.133062601E-3,2.384090424E-2,2.755674777E-2
1.098738446E0,1.040567458E-2,-6.766326725E-3,8.062362671E-2,8.157346642E-2
1.103509384E0,1.037432253E-2,-2.096991241E-2,9.894657135E-2,1.016749122E-1
1.108279488E0,5.509793758E-3,-2.080950141E-2,6.013488770E-2,6.387173001E-2
1.113050426E0,7.836431265E-3,-2.067964524E-2,-1.871395111E-2,2.897014581E-2
1.117822144E0,1.489201188E-2,-2.055087686E-2,-5.416965485E-2,5.982024794E-2
1.122593030E0,1.957155764E-2,-1.564641297E-2,-4.184627533E-2,4.877465393E-2
1.127363186E0,4.706084728E-4,-1.315696537E-2,1.239776611E-3,1.322362493E-2
1.132134123E0,-8.974760771E-3,-1.543731242E-2,6.533336639E-2,6.772965163E-2
1.136905842E0,2.969205379E-3,-2.241773158E-2,1.075239182E-1,1.098761295E-1
1.141676728E0,2.885937691E-3,-3.171414137E-2,1.042518616E-1,1.090071834E-1
1.146446884E0,-1.916676760E-3,-3.383983672E-2,6.064701080E-2,6.947566565E-2
1.151217821E0,7.594794035E-3,-2.882313728E-2,-6.334304810E-3,3.047257056E-2
1.155989488E0,1.230697334E-2,-1.907222718E-2,-6.326007843E-2,6.720899468E-2
1.160760426E0,1.466268301E-2,-1.887070388E-2,-4.848670959E-2,5.405607038E-2
1.165530582E0,2.810508013E-3,-1.632592082E-2,1.602363586E-2,2.304759320E-2
1.170301519E0,-1.905590296E-3,-1.380160451E-2,7.287025452E-2,7.419022547E-2
1.175073186E0,-4.236698151E-3,-2.554320171E-2,8.176136017E-2,8.576319013E-2
1.179844123E0,-6.548374891E-3,-3.718695790E-2,4.784202576E-2,6.094760438E-2
1.184614280E0,6.844699383E-4,-3.920787573E-2,-1.190853119E-2,4.098218068E-2
1.189385217E0,7.626116276E-4,-2.462286875E-2,-4.979419708E-2,5.555474152E-2
1.194156884E0,5.588412285E-3,-1.965599507E-2,-4.700374603E-2,5.125368899E-2
1.198927821E0,-3.785252571E-3,-1.470130682E-2,-1.811695099E-2,2.363642258E-2
1.203697978E0,-8.361220360E-3,2.053610981E-3,3.426837921E-2,3.533339975E-2
1.208468915E0,-1.061031222E-2,-3.242790699E-4,6.009864807E-2,6.102893889E-2
1.213240582E0,-1.527148485E-2,-7.458373904E-3,4.535293579E-2,4.843278204E-2
1.218011519E0,-1.749175787E-2,-5.009442568E-3,-4.881858826E-3,1.883848863E-2
1.222781676E0,-1.734730601E-2,-4.953578115E-3,-7.369136810E-2,7.586754705E-2
1.227552613E0,-1.485884190E-2,-1.513734460E-4,-9.207248688E-2,9.326387798E-2
1.232324280E0,-1.713949442E-2,1.648155600E-2,-5.806636810E-2,6.274637090E-2
1.237095217E0,-1.702642441E-2,2.820060402E-2,-1.010036469E-2,3.445563179E-2
1.241865373E0,-1.928842068E-2,3.741939366E-2,3.271865845E-2,5.331758438E-2
1.246636259E0,-1.918593049E-2,2.997078001E-2,4.193973541E-2,5.500262712E-2
1.251407978E0,-1.905584335E-2,2.021008730E-2,1.547431946E-2,3.179665638E-2
1.256178915E0,-9.459197521E-3,1.530598849E-2,-2.026939392E-2,2.710346899E-2
1.260949071E0,-4.661828279E-3,1.753825694E-2,-6.520843506E-2,6.768650606E-2
1.265719957E0,-6.998717785E-3,3.165035695E-2,-7.178783417E-2,7.876687299E-2
1.270491676E0,-1.403564215E-2,3.614903241E-2,-3.082752228E-2,4.953875175E-2
1.275262613E0,-1.866829395E-2,2.633685619E-2,3.115749359E-2,4.486562827E-2
1.280032769E0,-1.373726130E-2,2.847719938E-2,6.413650513E-2,7.150632505E-2
1.284803655E0,-8.904248476E-3,2.350571007E-2,3.985977173E-2,4.712330049E-2
1.289575373E0,-4.111558199E-3,9.050607681E-3,-1.507854462E-2,1.806047945E-2
1.294346311E0,3.015607595E-3,6.587445736E-3,-6.006336212E-2,6.049872561E-2
1.299116467E0,6.437301636E-4,1.129572839E-2,-7.143306732E-2,7.232351606E-2
1.303887353E0,7.506310940E-4,1.593480259E-2,-4.709339142E-2,4.972191565E-2
1.308659071E0,3.202617168E-3,1.581613719E-2,1.028060913E-2,1.913368434E-2
1.313430009E0,8.289515972E-4,1.095016301E-2,6.480121613E-2,6.572511576E-2
1.318200165E0,8.207559586E-4,3.722131252E-3,5.713939667E-2,5.726638240E-2
1.322971051E0,1.025223732E-2,-1.294225454E-2,4.428863525E-3,1.709459432E-2
1.327742769E0,1.723098755E-2,-2.231685817E-2,-4.309272766E-2,5.149691513E-2
1.332513707E0,2.895684540E-2,-1.030296087E-2,-7.359695435E-2,7.975689053E-2
1.337283811E0,2.631187439E-2,-3.079771996E-3,-8.010673523E-2,8.437350744E-2
1.342054748E0,1.422078907E-2,-3.039225936E-3,-3.195571899E-2,3.510891215E-2
1.346826467E0,6.921589375E-3,1.748532057E-3,2.528762817E-2,2.627603285E-2
1.351597353E0,4.431515932E-3,4.122227430E-3,5.119037628E-2,5.154692732E-2
1.356367509E0,6.710767746E-3,-7.796451449E-3,4.601478577E-2,4.715060517E-2
1.361138446E0,8.970499039E-3,-1.246639341E-2,5.269050598E-3,1.623710910E-2
1.365910165E0,1.121141016E-2,-1.234913617E-2,-4.700756073E-2,4.987892990E-2
1.370681051E0,1.589316130E-2,-1.220439374E-2,-7.510566711E-2,7.773288259E-2
1.375451207E0,1.344193518E-2,-1.206086576E-2,-5.785942078E-2,6.061239706E-2
1.380222144E0,-8.596181870E-4,-9.544387460E-3,1.977920532E-3,9.785011244E-3
1.384993863E0,-1.744434237E-2,-7.076576352E-3,5.656909943E-2,5.961917497E-2
1.389764748E0,-1.730003953E-2,-1.415362954E-2,5.134868622E-2,5.600271577E-2
1.394534905E0,-1.009139419E-2,-2.351740375E-2,3.436088562E-3,2.582075174E-2
1.399305842E0,-7.662922144E-3,-2.330729738E-2,-4.882526398E-2,5.464299488E-2
1.404077561E0,9.018659592E-3,-1.835064590E-2,-7.690715790E-2,7.957884996E-2
1.408848446E0,8.998870850E-3,-1.818434894E-2,-6.914329529E-2,7.205862548E-2
1.413618603E0,-5.322545767E-3,-8.522860706E-3,-3.295516968E-2,3.445303842E-2
1.418389540E0,-7.682114840E-3,-6.063558161E-3,2.667236328E-2,2.841120534E-2
1.423161259E0,-9.993523359E-3,-3.653213382E-3,5.493927002E-2,5.596016322E-2
1.427932144E0,-9.968459606E-3,-3.580190241E-3,3.311347961E-2,3.476622616E-2
1.432702301E0,-7.569760084E-3,-1.540772617E-2,-2.414512634E-2,2.962577289E-2
1.437473238E0,4.362761974E-3,-2.241611108E-2,-6.905269623E-2,7.273094654E-2
1.442244957E0,4.325091839E-3,-2.218672261E-2,-7.322597504E-2,7.663550417E-2
1.447015842E0,-4.320740700E-4,-1.246266067E-2,-4.175186157E-2,4.357433354E-2
1.451785998E0,-1.221543550E-2,-5.222998559E-3,8.454322815E-3,1.574713157E-2
1.456556936E0,-2.161154151E-2,-5.136892200E-3,4.637050629E-2,5.141663390E-2
1.461328655E0,-1.905858517E-2,-5.079954863E-3,3.648757935E-2,4.147745239E-2
1.466099540E0,-1.418146491E-2,-9.772539139E-3,2.943992615E-3,1.747236563E-2
1.470869696E0,-9.401649237E-3,-1.205113530E-2,-4.219245911E-2,4.487565572E-2
1.475640634E0,-2.202183008E-3,-9.590893984E-3,-7.270431519E-2,7.336724272E-2
1.480412353E0,2.591609955E-3,-4.777014256E-3,-6.022548676E-2,6.047020392E-2
1.485183238E0,2.232789993E-4,2.428568900E-3,-2.411270142E-2,2.423572095E-2
1.489953394E0,-4.527926445E-3,9.574092925E-3,1.644897461E-2,1.956359218E-2
1.494724332E0,-6.894379854E-3,1.894736290E-2,3.767967224E-2,4.273514636E-2
1.499495998E0,2.554953098E-4,1.165192574E-2,3.024196625E-2,3.241001657E-2
1.504266936E0,2.597749233E-3,9.194791317E-3,-1.512050629E-2,1.788636908E-2
1.509037092E0,4.948705435E-3,9.103089571E-3,-6.010150909E-2,6.098809163E-2
1.513808030E0,9.654194117E-3,9.012140334E-3,-7.147216797E-2,7.268213626E-2
1.518579696E0,1.197479665E-2,1.607285440E-2,-5.425643921E-2,5.784024204E-2
